time,gFx,gFy,gFz,TgF
6.467931,-0.2016,0.4924,0.1967,0.57
6.484806,-0.2293,0.5499,0.1095,0.61
6.497827,-0.2661,0.6462,0.0477,0.70
6.529668,-0.4429,0.8813,0.0938,0.99
6.547108,-0.3886,0.8317,0.1456,0.93
6.567877,-0.3048,0.6418,0.2402,0.75
6.580765,-0.2566,0.6274,0.2323,0.72
6.612834,-0.2596,0.6626,0.1610,0.73
6.629146,-0.2600,0.6096,0.0979,0.67
6.646144,-0.2661,0.5651,0.1102,0.63
6.664201,-0.2309,0.5863,0.0804,0.64
6.696570,-0.2163,0.5490,0.1398,0.61
6.713773,-0.1860,0.5255,0.1620,0.58
6.730518,-0.1962,0.5387,0.1964,0.61
6.751776,-0.2260,0.5413,0.1859,0.62
6.763102,-0.2383,0.5453,0.1803,0.62
6.796410,-0.2759,0.5688,0.1503,0.65
6.812902,-0.2896,0.5781,0.1221,0.66
6.830145,-0.3036,0.6115,0.1185,0.69
6.846770,-0.3187,0.6264,0.1432,0.72
6.865944,-0.2982,0.6186,0.1449,0.70
6.897910,-0.2796,0.5898,0.1624,0.67
6.913971,-0.2563,0.5998,0.1677,0.67
6.931831,-0.2610,0.5986,0.1579,0.67
6.951873,-0.2728,0.5902,0.1375,0.66
6.966327,-0.2938,0.5760,0.1253,0.66
6.997702,-0.2901,0.5631,0.0855,0.64
7.013675,-0.2593,0.6107,0.0774,0.67
7.031343,-0.2852,0.7161,0.0533,0.77
7.049063,-0.3274,0.8099,0.0813,0.88
7.070286,-0.2999,0.8864,0.1624,0.95
7.086167,-0.2710,0.9427,0.1943,1.00
7.113778,-0.2021,0.9160,0.1803,0.96
7.131310,-0.1410,0.8014,0.1312,0.82
7.153698,-0.0184,0.7684,0.1498,0.78
7.168398,0.0394,0.7021,0.1791,0.73
7.198102,0.0643,0.5829,0.2400,0.63
7.215036,0.0479,0.5898,0.2033,0.63
7.233007,-0.0075,0.6371,0.2143,0.67
7.248980,-0.1212,0.6748,0.2395,0.73
7.270333,-0.1904,0.6834,0.2840,0.76
7.299899,-0.2300,0.6403,0.3458,0.76
7.315591,-0.2353,0.6724,0.3148,0.78
7.332651,-0.2167,0.6633,0.3390,0.78
7.353368,-0.1713,0.5981,0.3511,0.71
7.382340,-0.1662,0.4940,0.3993,0.66
7.398576,-0.1831,0.4940,0.4350,0.68
7.415861,-0.1789,0.4346,0.4352,0.64
7.432282,-0.1997,0.4966,0.5242,0.75
7.469046,-0.1579,0.5022,0.5680,0.77
7.482372,-0.1535,0.4560,0.5669,0.74
7.499197,-0.1782,0.4101,0.6019,0.75
7.515922,-0.2175,0.3859,0.6016,0.75
7.532735,-0.1628,0.3385,0.5787,0.69
7.570360,-0.2493,0.3280,0.5589,0.69
7.583549,-0.2321,0.3351,0.6095,0.73
7.599620,-0.2018,0.3026,0.6447,0.74
7.616937,-0.1796,0.2114,0.6554,0.71
7.634040,-0.1582,0.1594,0.6542,0.69
7.671344,-0.1792,0.1836,0.6386,0.69
7.684159,-0.1857,0.2415,0.6051,0.68
7.699893,-0.1845,0.2686,0.6105,0.69
7.716996,-0.1733,0.2342,0.6004,0.67
7.753873,-0.1735,0.1357,0.5990,0.64
7.771640,-0.1354,0.1415,0.5902,0.62
7.783434,-0.1317,0.1420,0.5921,0.62
7.799269,-0.1466,0.2181,0.5926,0.65
7.817054,-0.1982,0.2088,0.6347,0.70
7.854080,-0.2402,0.1501,0.6298,0.69
7.867370,-0.2281,0.1765,0.6291,0.69
7.884430,-0.2481,0.2491,0.6743,0.76
7.900239,-0.2925,0.2997,0.7219,0.83
7.916962,-0.3218,0.3234,0.7566,0.88
7.949778,-0.3451,0.2953,0.8370,0.95
7.970824,-0.3928,0.3547,0.8225,0.98
7.984327,-0.4138,0.4118,0.8355,1.02
8.000355,-0.4313,0.4404,0.8131,1.02
8.033077,-0.3573,0.3001,0.7776,0.91
8.050218,-0.3649,0.2762,0.7466,0.88
8.070768,-0.3573,0.2867,0.7309,0.86
8.084889,-0.3318,0.2948,0.7229,0.85
8.104436,-0.3064,0.3679,0.6428,0.80
8.133878,-0.3236,0.4062,0.6134,0.80
8.150647,-0.2813,0.3999,0.5757,0.76
8.169632,-0.3045,0.6107,0.6266,0.93
8.184294,-0.3458,0.7530,0.6815,1.07
8.218454,-0.5953,0.8576,0.7085,1.26
8.235113,-0.6628,0.8349,0.6342,1.24
8.251498,-0.6212,0.7489,0.6862,1.19
8.272124,-0.3085,0.5255,0.6019,0.86
8.284956,-0.1945,0.4700,0.4919,0.71
8.317819,-0.2128,0.4900,0.3544,0.64
8.334804,-0.2356,0.5837,0.3387,0.71
8.351760,-0.2786,0.6606,0.3194,0.78
8.372036,-0.3763,0.8004,0.2926,0.93
8.386690,-0.4220,0.7969,0.4049,0.99
8.417628,-0.2493,0.4968,0.4597,0.72
8.434550,-0.1479,0.4185,0.3536,0.57
8.451315,-0.0774,0.4133,0.2808,0.51
8.471736,-0.1329,0.5184,0.2356,0.58
8.485639,-0.2070,0.5951,0.2162,0.67
8.518448,-0.3267,0.6154,0.2031,0.73
8.535590,-0.3174,0.5670,0.1987,0.68
8.552109,-0.3094,0.5357,0.2067,0.65
8.571818,-0.3074,0.5199,0.2038,0.64
8.602088,-0.3018,0.5389,0.2581,0.67
8.618539,-0.2708,0.5521,0.2740,0.67
8.635489,-0.2575,0.5655,0.2791,0.68
8.655706,-0.2451,0.5981,0.2675,0.70
8.685759,-0.2263,0.6198,0.1771,0.68
8.701787,-0.2229,0.6398,0.2121,0.71
8.718681,-0.2046,0.6282,0.2226,0.70
8.736523,-0.1860,0.5930,0.2251,0.66
8.753585,-0.1725,0.5597,0.2554,0.64
8.773529,-0.1811,0.5177,0.2456,0.60
8.809680,-0.2263,0.5308,0.2231,0.62
8.818466,-0.2219,0.5441,0.2101,0.62
8.836140,-0.2383,0.5646,0.2016,0.65
8.856323,-0.2493,0.5765,0.2013,0.66
8.891919,-0.2610,0.5599,0.3143,0.69
8.903187,-0.2630,0.5560,0.3316,0.70
