time,gFx,gFy,gFz,TgF
7.826631,-0.2495,0.5643,0.6815,0.92
7.844821,-0.2386,0.4976,0.6731,0.87
7.865812,-0.2393,0.5113,0.6864,0.89
7.898323,-0.2710,0.8563,0.6471,1.11
7.911255,-0.3458,0.8791,0.5792,1.11
7.928898,-0.4401,1.0521,0.5923,1.29
7.961057,-0.2442,0.5809,0.5042,0.81
7.982402,-0.1929,0.4839,0.4096,0.66
8.010802,-0.1315,0.4924,0.2703,0.58
8.011601,-0.1315,0.4924,0.2703,0.58
8.044612,-0.2537,0.5895,0.1190,0.65
8.061966,-0.2764,0.5431,0.1172,0.62
8.081883,-0.2852,0.5169,0.1314,0.60
8.112679,-0.2654,0.5126,0.1488,0.60
8.128797,-0.3025,0.5543,0.1630,0.65
8.145922,-0.3297,0.5968,0.1412,0.70
8.161669,-0.3549,0.6249,0.1165,0.73
8.182608,-0.3339,0.6181,0.1217,0.71
8.207709,-0.3040,0.5590,0.1630,0.66
8.227820,-0.2967,0.5546,0.1429,0.65
8.245038,-0.3097,0.5443,0.1435,0.64
8.266190,-0.3260,0.5364,0.1277,0.64
8.298081,-0.3004,0.4859,0.1422,0.59
8.311558,-0.2691,0.4791,0.1356,0.57
8.328066,-0.2666,0.4891,0.1403,0.57
8.361578,-0.3248,0.5333,0.1620,0.65
8.385731,-0.3576,0.5529,0.1735,0.68
8.411739,-0.3541,0.5218,0.1566,0.65
8.428078,-0.3331,0.5157,0.1628,0.64
8.444894,-0.3111,0.5284,0.1234,0.63
8.462362,-0.3299,0.5462,0.1414,0.65
8.482961,-0.3583,0.5521,0.1579,0.68
8.503721,-0.3817,0.5380,0.1496,0.68
8.530575,-0.3695,0.5057,0.1148,0.64
8.548807,-0.3742,0.5404,0.1041,0.67
8.562800,-0.3649,0.5573,0.1195,0.68
8.584376,-0.3852,0.5436,0.1383,0.68
8.611632,-0.4179,0.5308,0.1224,0.69
8.629341,-0.4301,0.5323,0.1321,0.70
8.646105,-0.4257,0.5367,0.1717,0.71
8.668029,-0.4323,0.5667,0.1957,0.74
8.694758,-0.4572,0.5653,0.1845,0.75
8.711967,-0.4758,0.5490,0.1532,0.74
8.730996,-0.4604,0.5511,0.1554,0.73
8.745911,-0.4218,0.6093,0.1379,0.75
8.763565,-0.4683,0.6953,0.1496,0.85
8.796156,-0.5198,0.8111,0.1363,0.97
8.813394,-0.5215,0.8325,0.1175,0.99
8.828901,-0.4861,0.7853,0.1041,0.93
8.846082,-0.3661,0.6872,0.1021,0.79
8.866605,-0.1517,0.6176,0.0872,0.64
8.894819,-0.0156,0.6320,0.1075,0.64
8.913694,-0.0103,0.6899,0.2155,0.72
8.929840,-0.0839,0.7154,0.2388,0.76
